Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,179.99,184.49,177.81,183.69,1439400,180.37
2013-05-22,189.28,192.03,187.91,188.06,1122500,184.66
2013-05-21,187.01,190.00,186.51,189.56,579800,186.13
2013-05-20,186.89,187.50,186.19,186.68,742100,183.31
2013-05-17,185.10,187.88,185.02,187.01,413000,183.63
2013-05-16,186.50,187.09,183.33,184.80,758200,181.46
2013-05-15,186.30,187.44,185.07,186.71,470400,183.34
2013-05-14,184.29,186.77,183.64,186.55,652800,183.18
2013-05-13,184.59,185.38,183.67,183.79,256500,180.47
2013-05-10,184.00,185.10,183.44,185.00,274500,181.66
2013-05-09,184.97,186.63,183.31,183.62,612700,180.30
2013-05-08,184.96,185.50,184.09,185.37,268300,182.02
2013-05-07,181.30,185.09,181.30,185.01,613200,181.67
2013-05-06,179.29,181.80,178.60,180.92,474300,177.65
2013-05-03,178.73,180.85,178.73,179.26,320300,176.02
2013-05-02,179.17,179.75,176.64,177.54,544100,174.33
2013-05-01,181.31,181.42,178.17,178.57,605300,175.34
2013-04-30,176.92,181.83,176.50,181.58,1117800,178.30
2013-04-29,175.72,177.34,174.57,177.00,589100,173.80
2013-04-26,174.97,175.71,173.85,175.60,349600,172.43
2013-04-25,171.88,176.08,171.88,175.38,501400,172.21
2013-04-24,171.07,171.95,169.86,171.44,494000,168.34
2013-04-23,167.51,171.12,167.51,170.75,865000,167.66
2013-04-22,169.01,169.46,165.38,165.93,779600,162.93
2013-04-19,168.24,169.96,167.97,169.14,446100,166.08
2013-04-18,168.95,169.05,166.34,167.35,381400,164.33
2013-04-17,169.81,169.91,167.34,168.57,514100,165.52
2013-04-16,172.00,172.30,169.21,171.28,391900,168.18
2013-04-15,173.26,174.91,170.76,170.85,602300,167.76
2013-04-12,174.22,174.69,172.33,174.02,350500,170.87
2013-04-11,172.99,175.94,172.51,174.99,426300,171.83
2013-04-10,170.68,173.15,170.23,172.60,280000,169.48
2013-04-09,169.65,170.82,168.82,170.08,264600,167.01
2013-04-08,168.52,169.87,167.50,169.60,293400,166.53
2013-04-05,166.89,169.20,165.33,168.73,481700,165.68
2013-04-04,168.70,169.64,168.31,169.62,313100,166.55
2013-04-03,168.38,170.47,167.35,168.73,676100,165.68
2013-04-02,167.02,169.02,166.90,167.93,559700,164.89
2013-04-01,169.12,169.60,166.29,166.75,748400,163.74
2013-03-28,169.27,169.60,167.91,169.31,558800,166.25
2013-03-27,166.97,170.03,165.91,169.71,725700,166.64
2013-03-26,167.42,167.90,165.87,167.57,538100,164.54
2013-03-25,168.86,169.33,165.90,167.44,751900,164.02
2013-03-22,169.72,170.49,167.64,168.41,706200,164.97
2013-03-21,169.15,170.71,168.23,168.59,644200,165.15
2013-03-20,168.55,171.11,167.28,170.51,883200,167.03
2013-03-19,169.66,170.26,165.77,167.20,772500,163.79
2013-03-18,169.67,171.28,168.87,169.22,700600,165.76
2013-03-15,172.32,174.29,171.19,171.30,625100,167.80
2013-03-14,173.66,174.22,172.61,173.16,671700,169.62
2013-03-13,175.07,175.57,172.65,173.03,879100,169.50
2013-03-12,175.85,176.58,174.35,174.41,426900,170.85
2013-03-11,176.87,177.44,176.29,176.50,451700,172.90
2013-03-08,178.00,178.00,176.27,177.46,319600,173.84
2013-03-07,177.81,178.69,176.78,177.18,603000,173.56
